a,final
GRP LAKHIMPUR KHIRI  KHERI ,"27.948037, 80.796639"
GRP PILIBHIT  PILIBHIT ,"28.625973, 79.804492"
GURGAON CITY  GURGAON ,"28.448115, 77.044092"
HAFIZPUR  HAPUR ,"28.672553, 77.788600"
HAIDERGANJ  FAIZABAD ,"26.461810, 82.236550"
HALIA  MIRZAPUR ,"24.826781, 82.323217"
HAPUR DEHAT  HAPUR ,"28.727643, 77.814896"
HARGAON  SITAPUR ,"27.780237, 80.729622"
HARPALPUR  HARDOI ,"27.324933, 79.840213"
HASAYAN  HATHRAS ,"27.608777, 78.270022"
HAYATNAGAR  SAMBHAL ,"28.550853, 78.573101"
HAZRAT NAGAR GARHI  MORADABAD ,"28.627477, 78.672792"
HUSAINGANJ  LUCKNOW ,"26.838155, 80.939191"
HUSSAINGANJ  FATEHPUR ,"26.000118, 80.931516"
IRADAT NAGAR  AGRA ,"26.968540, 78.044497"
ITAUNJA  LUCKNOW ,"27.083647, 80.895823"
JAGDISHPURA  AGRA ,"27.194370, 77.977504"
JAHANGIRABAD  BULANDSHAHAR ,"28.404971, 78.106120"
JAITPURA  VARANASI ,"25.328732, 83.013459"
JARWA  BALRAMPUR ,"27.644986, 82.523281"
JASRATHPUR  ETAH ,"27.435423, 79.095250"
JAUNPUR  GRP ALLAHABAD ,"25.747151, 82.690310"
JETHWARA  PRATAPGARH ,"25.822443, 81.773799"
JHINJHANA  SHAMLI ,"29.521197, 77.227793"
JHUNSI  ALLAHABAD ,"25.427923, 81.921230"
JUGAIL  SONBHADRA ,"24.511912, 82.844627"
JUHI  KANPUR CITY ,"26.444504, 80.320222"
KABRAI  MAHOBA ,"25.409783, 80.008043"
KAGARAUL  AGRA ,"27.025103, 77.850848"
KAISHERGANJ  BAHRAICH ,"27.255258, 81.548714"
KALWARI  BASTI ,"26.632983, 82.683091"
KALYAN  RAILWAY MUMBAI ,"19.236371, 73.130263"
KANPUR  GRP LUCKNOW ,"26.454406, 80.347320"
KARBI  GRP JHANSI ,"25.444670, 78.553475"
KARHAL  MAINPURI ,"27.004419, 78.941329"
KARVI KOTWALI NAGAR  CHITRAKOOT ,"25.215040, 80.913777"
KASHMERI GATE  NORTH ,"28.666851, 77.232697"
KASIMABAD  GHAZIPUR ,"25.787483, 83.671844"
KAVI NAGAR  GHAZIABAD ,"28.663976, 77.452925"
KEMRI  RAMPUR ,"28.813179, 79.201474"
KHAIRGARH  FIROZABAD ,"27.190460, 78.482691"
KHARKHAUDA  MEERUT ,"28.837249, 77.741618"
KHERI  KHERI ,"27.952207, 80.780098"
KHETA SARAI  JAUNPUR ,"25.968991, 82.684048"
KIDWAI NAGAR  KANPUR CITY ,"26.426752, 80.337390"
KOTHIBHAR  MAHRAJGANJ ,"27.131484, 83.778658"
KOTWALI  ETAH ,"27.557157, 78.662755"
KOTWALI  ETAWAH ,"26.772746, 79.018874"
KOTWALI  JALPAIGURI ,"26.524918, 88.726815"
KOTWALI  SITAPUR ,"27.565857, 80.690221"
KOTWALI BHOPAL  BHOPAL ,"23.256995, 77.403802"
KOTWALI CITY  PRATAPGARH ,"25.921311, 82.002826"
KOTWALI PADRAUNA  KUSHI NAGAR ,"26.902393, 83.978033"
KOTWALI ROORKEE  HARIDWAR ,"29.872596, 77.888735"
KURSI  BARABANKI ,"27.063470, 81.045768"
LAKSAR  HARIDWAR ,"29.752948, 78.023186"
LALIA  BALRAMPUR ,"27.558490, 82.152033"
LOHAMANDI  AGRA ,"27.193878, 77.976545"
LONIKATRA  BARABANKI ,"26.668385, 81.279701"
MADAN MOHAN GATE  AGRA ,"27.189843, 78.011003"
MADANPUR  DEORIA ,"26.370916, 83.629017"
MADAWARA  LALITPUR ,"24.378449, 78.799224"
MAHILA THANA  DEORIA ,"26.491057, 83.780509"
MAHILA THANA  JALAUN ,"26.085275, 79.370163"
MAHILA THANA  KUSHI NAGAR ,"26.743956, 83.888137"
MAHILA THANA  SONBHADRA ,"24.688618, 83.073363"
MAIGALGANJ  KHERI ,"27.719795, 80.344563"
MALAWAN  ETAH ,"27.474285, 78.830976"
MALPURA  AGRA ,"27.130337, 77.931425"
MALWAN  FATEHPUR ,"26.017555, 80.685986"
MANDAWAR  BIJNOR ,"29.484471, 78.122428"
MANMAD  RAILWAY NAGPUR ,"20.250959, 74.439292"
MANPUR  SITAPUR ,"27.500884, 80.887063"
MANT  MATHURA ,"27.633302, 77.711492"
MEJA  ALLAHABAD ,"25.145106, 82.108038"
MIRZAPUR  GRP ALLAHABAD ,"25.486799, 81.819098"
MOTI GANJ  GONDA ,"27.118471, 82.134715"
MUNDERWA  BASTI ,"26.852733, 82.406714"
MUNSHIGANJ  AMETHI ,"26.187718, 81.805452"
NAGAR  BASTI ,"26.725536, 82.670108"
NAGINA DEHAT  BIJNOR ,"29.440417, 78.427534"
NAI-KI-MANDI  AGRA ,"27.184693, 78.007764"
NARSENA  BULANDSHAHAR ,"28.522624, 78.127564"
NASEERABAD  RAE BARELI ,"26.210448, 81.519371"
NASHIK ROAD  RAILWAY NAGPUR ,"19.948369, 73.842031"
NAWABGANJ  FATEHGARH ,"27.363429, 79.621287"
NAWABGANJ  GONDA ,"26.865428, 82.143870"
NAWABGANJ  KANPUR CITY ,"26.491929, 80.298808"
NAWABGANJ  PRATAPGARH ,"25.818070, 81.358119"
NIDHOLI  ETAH ,"27.576678, 78.493570"
NIWARI  GHAZIABAD ,"28.875925, 77.536247"
NIZAMABAD  AZAMGARH ,"26.058207, 83.057521"
PACHOKHARA  FIROZABAD ,"27.267567, 78.275823"
PANCHDEORA  HARDOI ,"27.644742, 79.766463"
PANIPAT CITY  PANIPAT ,"29.397125, 76.969471"
PARASRAMPUR  BASTI ,"26.945267, 82.392082"
PHOOLBEHAD  KHERI ,"28.062606, 80.790038"
PILKHUWA  HAPUR ,"28.713125, 77.662926"
PINAHAT  AGRA ,"26.884124, 78.372495"
PIPARI  KAUSHAMBI ,"25.409432, 81.637418"
PISAWAN  SITAPUR ,"27.560036, 80.488656"
PURANI BASTI  BASTI ,"26.819879, 82.765484"
QAISER BAGH  LUCKNOW ,"26.858285, 80.927828"
RAILBAZAR  KANPUR CITY ,"26.449035, 80.346789"
RAJA KA RAMPUR  ETAH ,"27.554660, 79.130539"
RAMGARH  FIROZABAD ,"27.152030, 78.414748"
RAMPUR MANIHARAN  SAHARANPUR ,"29.804909, 77.455926"
RANI-KI-SARAI  AZAMGARH ,"26.002486, 83.107710"
RAUNAHI  FAIZABAD ,"26.767244, 82.015966"
REHAR  BIJNOR ,"29.355485, 78.769805"
RUDRAPUR  UDHAM SINGH NAGAR ,"28.985825, 79.409287"
S.M. SOUTH  SHAHJAHANPUR ,"27.845958, 79.924328"
SADULLA NAGAR  BALRAMPUR ,"27.098263, 82.421687"
SAHABGANJ  CHANDAULI ,"25.098249, 83.266626"
SAHPAU  HATHRAS ,"27.435926, 78.140795"
SAMSABAD  FATEHGARH ,"27.554070, 79.440785"
SARAI INAYAT  ALLAHABAD ,"25.425190, 81.968875"
SARENI  RAE BARELI ,"26.156723, 80.828213"
SATTI  KANPUR DEHAT ,"26.249154, 79.731391"
SHAHGANJ  SONBHADRA ,"24.704404, 82.953020"
SHAMLI  SHAMLI ,"29.447814, 77.311049"
SIKHERA  MUZAFFAR NAGAR ,"29.396982, 77.789812"
SIRAULI  BAREILLY ,"28.491635, 79.088945"
SIRSA GANJ  FIROZABAD ,"27.057105, 78.689043"
SISAMAU  KANPUR CITY ,"26.469789, 80.328196"
SUHWAL  GHAZIPUR ,"25.601052, 83.646836"
SUNLIGHT COLONY  SOUTH-EAST ,"28.576730, 77.261041"
SURERI  JAUNPUR ,"25.407378, 82.666369"
SYANA  BULANDSHAHAR ,"28.629883, 78.058205"
TANDA  AMBEDKAR NAGAR ,"26.542935, 82.667955"
TANDIAWAN  HARDOI ,"27.428602, 80.255278"
TARUN  FAIZABAD ,"26.553526, 82.256254"
THARIAON  FATEHPUR ,"25.843656, 80.992086"
TIKAIT NAGAR  BARABANKI ,"26.942515, 81.569324"
TINDWARI  BANDA ,"25.619451, 80.527285"
UMRI BEGAMGANJ  GONDA ,"26.897161, 81.856910"
USKA BAZAR  SIDDHARTH NAGAR ,"27.219908, 83.104491"
VIDISHA  GRP BHOPAL ,"23.268542, 77.414520"
WAZIRGANJ  GONDA ,"26.949780, 82.125743"
A.J.K.  GWALIOR ,"26.230524, 78.218729"
A.J.K.  TIKAMGARH ,"24.749315, 78.830938"
ADAMPUR  VARANASI ,"25.329343, 83.026116"
AHIRAULI  AMBEDKAR NAGAR ,"26.515288, 82.308313"
AHRAULA  AZAMGARH ,"26.182123, 82.909550"
AHRAURA  MIRZAPUR ,"25.016385, 83.016119"
AKOLA  RAILWAY NAGPUR ,"20.723047, 77.005037"
ALIGANJ  AMBEDKAR NAGAR ,"26.538530, 82.574536"
ALIGARH  GRP AGRA ,"27.176136, 78.015735"
AMBAH  MORENA ,"26.701347, 78.227268"
AMITNAGAR SARAI  MEERUT ,"28.985900, 77.393661"
AMLA  GRP BHOPAL ,"21.927990, 78.130581"
AMRITPUR  FATEHGARH ,"27.541819, 79.597921"
ANOOP SHAHAR  BULANDSHAHAR ,"28.356687, 78.263523"
ANWARGANJ  KANPUR CITY ,"26.456339, 80.329022"
ARARIA  ARARIA ,"26.165213, 87.473003"
ARMAPUR  KANPUR CITY ,"26.465860, 80.268318"
ASHOK VIHAR  NORTH WEST ,"28.691846, 77.171931"
ASMOLI  SAMBHAL ,"28.699333, 78.540073"
ASOTHAR  FATEHPUR ,"25.756121, 80.884754"
ATA  JALAUN ,"26.046102, 79.603028"
ATARRA  BANDA ,"25.287177, 80.573535"
ATRAULIA  AZAMGARH ,"26.333237, 82.948301"
AURAS  UNNAO ,"26.916877, 80.504826"
AZIM NAGAR  RAMPUR ,"28.904809, 79.105047"
BABERU  BANDA ,"25.548711, 80.704408"
BADAUSA  BANDA ,"25.245011, 80.653585"
BADDI  BADDI POLICE DISTT ,"30.926149, 76.798163"
BADDUPUR  BARABANKI ,"27.215025, 81.105763"
BADLAPUR  JAUNPUR ,"25.892986, 82.454753"
BADONI  DATIA ,"25.658426, 78.462318"
BADSHAHI NAKA  KANPUR CITY ,"26.464920, 80.348573"
BAGHAULI  HARDOI ,"27.230714, 80.298702"
BAHADURGARH  HAPUR ,"28.670171, 78.117170"
BAHARIYA BAD  GHAZIPUR ,"25.716733, 83.255264"
BAKEWAR  FATEHPUR ,"26.098779, 80.477901"
BAKHIRA  SANT KABEER NAGAR ,"26.881938, 83.139562"
BALUA  CHANDAULI ,"25.424691, 83.184722"
BANDA  SAGAR ,"24.037421, 78.966201"
BANKATA  DEORIA ,"26.576851, 83.774834"
BANSDEEH  BALLIA ,"25.880306, 84.214712"
BAR  LALITPUR ,"24.865879, 78.581300"
BARAGAON  VARANASI ,"25.426119, 82.820501"
BARAUT  GRP MORADABAD ,"29.101202, 77.261396"
BARGADWA  MAHRAJGANJ ,"27.148300, 83.385162"
BARHAN  AGRA ,"27.332296, 78.191564"
BARODA  WSTN RLY VADODARA ,"22.282123, 73.211680"
BARODA MEO  ALWAR ,"27.483613, 76.869691"
BARRA  KANPUR CITY ,"26.429966, 80.300113"
BARSATHI  JAUNPUR ,"25.576702, 82.506090"
BEGUSARAI  RLY KATIHAR ,"25.425093, 86.134040"
BEKAN GANJ  KANPUR CITY ,"26.467752, 80.342794"
BEWAR  MAINPURI ,"27.221774, 79.300905"
BHABHUA  BHABHUA ,"25.042778, 83.601166"
BICHHWA  MAINPURI ,"27.339496, 79.066347"
BILASPUR  GRP RAIPUR ,"21.724961, 81.787303"
BILASPUR  YAMUNA NAGAR ,"30.303370, 77.301881"
BINDKI  FATEHPUR ,"26.030407, 80.579513"
BIRNO  GHAZIPUR ,"25.702659, 83.539953"
BISANDA  BANDA ,"25.403507, 80.617611"
BISRIKH  GHAZIABAD ,"28.571472, 77.438747"
BISWAN  SITAPUR ,"27.494108, 80.996232"
BITHOOR  KANPUR CITY ,"26.609313, 80.271257"
BODHGAYA  GAYA ,"24.700871, 84.986398"
BRAHMPURI  MEERUT ,"28.971512, 77.697177"
BRIJMANGANJ  MAHRAJGANJ ,"27.198936, 83.196927"
BURDWAN (SADAR)  BURDWAN ,"23.252465, 87.862811"
CANTT  ALLAHABAD ,"25.454610, 81.800316"
CANTT  KANPUR CITY ,"26.453240, 80.356600"
CHAKRATA  DEHRADUN ,"30.703412, 77.865665"
CHALAKUDI  THRISSUR ,"10.310236, 76.332922"
CHAND HUT  PALWAL ,"28.122770, 77.445288"
CHANDAULI  CHANDAULI ,"25.186286, 83.279350"
CHANDAUS  ALIGARH ,"28.080404, 77.858734"
CHANDAUSI  GRP MORADABAD ,"28.816510, 78.771799"
CHANDPUR  FATEHPUR ,"25.940779, 80.343064"
CHAUBEPUR  KANPUR CITY ,"26.157847, 80.077998"
CHAUBEPUR  VARANASI ,"25.446283, 83.097590"
CHAUBIA  ETAWAH ,"26.901528, 79.133505"
CHECHAT  KOTA RURAL ,"24.760054, 75.903105"
CHHATA  MATHURA ,"27.720119, 77.514827"
CHHAWANI  BASTI ,"26.775552, 82.379895"
CHHOLA MANDIR  BHOPAL ,"23.279820, 77.418319"
CHIKASI  HAMIRPUR ,"25.823073, 79.484532"
CHILLA  BANDA ,"25.495004, 80.339935"
CITY KHANNA  KHANNA ,"30.701809, 76.226947"
CIVIL LINES  CHHATARPUR ,"24.905217, 79.593342"
COLONOL GANJ  KANPUR CITY ,"26.470806, 80.336760"
D C B AHMEDABAD CITY  AHMEDABAD CITY ,"23.028173, 72.583359"
D C B BARODA CITY  VADODARA CITY ,"22.280690, 73.174418"
DADON  ALIGARH ,"27.951269, 78.466995"
DAKOR  JALAUN ,"25.876460, 79.434173"
DANAPUR  PATNA ,"25.628721, 85.053595"
DANNAHAR  MAINPURI ,"27.211936, 78.889907"
DARBHANGA  RLY MUJAFFARPUR ,"26.170321, 85.905251"
DARIYABAD  BARABANKI ,"26.890839, 81.558252"
DATIA  DATIA ,"25.671803, 78.459744"
DEHRI  ROHTAS ,"24.916827, 84.190276"
DELHI GATE  MEERUT ,"28.972633, 77.697056"
DHEBARUA  SIDDHARTH NAGAR ,"27.449210, 82.799987"
DHOLNA  KASGANJ ,"27.843013, 78.537529"
DIMAPUR WEST  DIMAPUR ,
DUBAULIA  BASTI ,"26.898037, 82.611528"
DUMARIYAGANJ  SIDDHARTH NAGAR ,"27.213174, 82.652124"
DUMRAON  BUXAR ,"25.558530, 84.144924"
EAST SECTOR 26  CHANDIGARH ,"30.720534, 76.814720"
ECOTECH III  GAUTAM BUDH NAGAR ,"28.542274, 77.460297"
EGMORE  GRP CHENNAI ,"13.078697, 80.256036"
ETAWAH  GRP AGRA ,"27.175993, 78.015445"
ETMADPUR  AGRA ,"27.232572, 78.200492"
FAIZ GANJ BEHATA  BADAUN ,"28.388419, 78.844889"
FAIZABAD  GRP LUCKNOW ,"26.804611, 81.542931"
FARIDABAD OLD  FARIDABAD ,"28.422471, 77.320317"
FARIHA  FIROZABAD ,"27.320916, 78.472037"
FARUKHABAD  GRP AGRA ,"27.458690, 79.564300"
FATEHPUR SIKRI  AGRA ,"27.098788, 77.668650"
FEROZEPUR JHIRKA  MEWAT ,"27.788210, 76.951075"
GABHANA  ALIGARH ,"28.049352, 77.963362"
GADAGANJ  RAE BARELI ,"26.014468, 81.162362"
GADARWARA  NARSINGHPUR ,"22.916873, 78.783367"
GANDHI MAIDAN  PATNA ,"25.619880, 85.148149"
GARHI PUKHTA  SHAMLI ,"29.548994, 77.307250"
GARHIYA RANGEEN  SHAHJAHANPUR ,"27.926455, 79.514460"
GAUR  BASTI ,"26.910806, 82.579737"
GAYA MUFASSIL  GAYA ,"24.789069, 85.000625"
GHAZIABAD  GRP MORADABAD ,"28.832890, 78.765047"
GHAZIPUR  EAST ,"28.624314, 77.330219"
GIRISH PARK  KOLKATA CENTRAL DIVISION ,"22.593523, 88.364609"
GIRRAR  LALITPUR ,"24.325911, 78.926911"
GIRWAN  BANDA ,"25.311442, 80.385933"
GODDA MUFASSIL  GODDA ,"24.828541, 87.213188"
GOHANA CITY  SONIPAT ,"29.142272, 76.693905"
GOLHAURA  SIDDHARTH NAGAR ,"27.233411, 82.823129"
GORAKHPUR  GRP GORAKHPUR ,"26.764307, 83.367173"
GOVARDHAN  MATHURA ,"27.496240, 77.466917"
GOVINDPUR  JAMSHEDPUR ,"22.752880, 86.261322"
GRP AGRA FORT  AGRA ,"27.179304, 78.020940"
GRP BHATINDA  GOVT.RLY POLICE ,"30.211332, 74.933849"
GRP DEHRADUN  DEHRADUN ,"30.308492, 78.028452"
GRP FARRUKHABAD  FATEHGARH ,"27.382788, 79.629019"
GRP KASGANJ  KASGANJ ,"27.807124, 78.645119"
GRP MAINPURI  MAINPURI ,"27.226149, 79.026656"
GRP MUZAFFAR NAGAR  MUZAFFAR NAGAR ,"29.472726, 77.707757"
GULAOTHI  BULANDSHAHAR ,"28.593385, 77.791961"
GULGANJ  CHHATARPUR ,"24.710676, 79.380861"
GUNNOUR  SAMBHAL ,"28.238024, 78.442318"
GURBUXGANJ  RAE BARELI ,"26.300777, 81.024985"
GURGAON SADAR  GURGAON ,"28.460713, 77.029626"
GURSARAI  JHANSI ,"25.619565, 79.182512"
GUWAHATI  GOVT. RLY. POLICE ,"26.171118, 91.684269"
GWALTOLI  KANPUR CITY ,"26.485058, 80.333777"
HAIDRABAD  KHERI ,"28.055734, 80.411232"
HALDAUR  BIJNOR ,"29.284834, 78.280840"
HALDHARPUR  MAU ,"25.968155, 83.695730"
HALDWANI  NAINITAL ,"29.217571, 79.513439"
HANUMANGANJ  KUSHI NAGAR ,"26.630906, 84.385357"
HARBANS MOHAL  KANPUR CITY ,"26.459635, 80.358254"
HARCHANDPUR  RAE BARELI ,"26.343883, 81.164975"
HARDI  BAHRAICH ,"27.562009, 81.385505"
HARI PARVAT  AGRA ,"27.196792, 78.001792"
HARIYAWAN  HARDOI ,"27.520517, 80.182201"
HARPALPUR  CHHATARPUR ,"25.289886, 79.330645"
HASANPUR  AMROHA ,"28.724576, 78.283639"
HATA  KUSHI NAGAR ,"26.744171, 83.747020"
HATHRAS JUNCTION  HATHRAS ,"27.625379, 78.137253"
HAZARA  PILIBHIT ,"28.589461, 80.349747"
HAZARAT NIZAMUDDIN  SOUTH-EAST ,"28.589212, 77.253624"
HISAR  GRP AMBALA CANTT ,"29.165076, 75.715714"
HOWRAH  HOWRAH GRP ,"22.587564, 88.337182"
IBRAHIMPUR  AMBEDKAR NAGAR ,"26.566545, 82.553351"
IKDIL  ETAWAH ,"26.748513, 79.088589"
ITWA  SIDDHARTH NAGAR ,"27.330976, 82.698074"
JAGADHARI  GRP AMBALA CANTT ,"30.377906, 76.782603"
JAGDISHPUR  AMETHI ,"26.456356, 81.621831"
JAHANABAD  FATEHPUR ,"26.103658, 80.355782"
JARCHA  GHAZIABAD ,"28.570606, 77.651979"
JASIDIH  DEOGHAR ,"24.524016, 86.645921"
JEHANGIRGANJ  AMBEDKAR NAGAR ,"26.416996, 82.975080"
JYOTI NAGAR  NORTH EAST ,"28.692479, 77.288212"
KACHHWA  MIRZAPUR ,"25.131534, 82.570889"
KADAURA  JALAUN ,"25.977939, 79.839759"
KAKADEV  KANPUR CITY ,"26.479235, 80.288468"
KAKWAN  KANPUR CITY ,"26.746611, 79.982035"
KALYANPURI  EAST ,"28.617420, 77.314754"
KAMASIN  BANDA ,"25.512660, 80.905852"
KAMPIL  FATEHGARH ,"27.613076, 79.277719"
KARERA  SHIVPURI ,"25.456990, 78.136289"
KARMA  SONBHADRA ,"24.810972, 82.936317"
KARNAL  GRP AMBALA CANTT ,"30.377915, 76.782710"
KARNAL CITY  KARNAL ,"29.686096, 77.000794"
KATERA  JHANSI ,"25.236732, 78.917939"
KATIHAR  RLY KATIHAR ,"25.548208, 87.565241"
KHAGARIA  RLY KATIHAR ,"25.585463, 86.472073"
KHANPUR  BULANDSHAHAR ,"28.534926, 78.063237"
KHEERON  RAE BARELI ,"26.276963, 80.923149"
KHULDABAD  ALLAHABAD ,"25.437567, 81.818289"
KODERMA  KODERMA ,"24.473557, 85.691366"
KOHNA  KANPUR CITY ,"26.485553, 80.344194"
KOKRAJHAR  KOKRAJHAR ,"26.402399, 90.269594"
KOTA  GRP AJMER ,"26.449070, 74.641205"
KOTRA  JALAUN ,"25.814437, 79.318529"
KOTWALI  AGRA ,"27.187301, 78.014262"
KOTWALI  JAUNPUR ,"25.754095, 82.686911"
KOTWALI  SAWAI MADHOPUR ,"25.995810, 76.364046"
KOTWALI DEHAT  HARDOI ,"27.408169, 80.162227"
KOTWALI DEHAT  MIRZAPUR ,"25.153039, 82.586123"
KOTWALI JWALAPUR  HARIDWAR ,"29.921415, 78.104187"
KUDH FATEH GARH  MORADABAD ,"28.499149, 78.872757"
KUMARGANJ  FAIZABAD ,"26.547686, 81.841064"
KUNDA  UDHAM SINGH NAGAR ,"29.238426, 78.913394"
LAKHISARAI  LAKHI SARAI ,"25.167448, 86.092689"
LALGANJ  RAE BARELI ,"26.166855, 80.968359"
LANKA  VARANASI ,"25.280515, 82.996995"
LINE BAZAR  JAUNPUR ,"25.729374, 82.692143"
LONAVALA RURAL  PUNE RURAL ,"18.757724, 73.408966"
LOTAN  SIDDHARTH NAGAR ,"27.297370, 83.245940"
MACHREHTA  SITAPUR ,"27.407904, 80.638915"
MADANPUR  LALITPUR ,"24.251738, 78.696023"
MADHUBAN  MAU ,"26.167417, 83.681906"
MADRAK  ALIGARH ,"27.797771, 78.087307"
MAHARUAA  AMBEDKAR NAGAR ,"26.383008, 82.384501"
MAHESHGANJ  PRATAPGARH ,"25.771121, 81.610919"
MAHILA THANA  BANDA ,"25.465954, 80.317400"
MAHILA THANA  KANPUR CITY ,"26.489774, 80.354875"
MAHILA THANA  MAHRAJGANJ ,"27.175491, 83.612678"
MAHILA THANA  RAMPUR ,"28.815253, 79.036807"
MAHILA THANA  UDAIPUR ,"28.706710, 77.946678"
MAHRAUNI  LALITPUR ,"24.583392, 78.725967"
MAIL  DEORIA ,"26.209287, 83.856723"
MAILANI  KHERI ,"28.293545, 80.345861"
MAINATHER  MORADABAD ,"28.695603, 78.700651"
MANAVALA NAGAR  THIRUVALLUR ,"13.111324, 79.910133"
MANCERIAL  GRP SECUNDERABAD ,"17.544183, 78.533535"
MANDA  ALLAHABAD ,"25.099287, 82.264723"
MANDIR MARG  NEW DELHI ,"28.634382, 77.200560"
MANI MAJRA  CHANDIGARH ,"30.717448, 76.835664"
MANIAR  BALLIA ,"25.814457, 84.034767"
MANIKPUR  CHITRAKOOT ,"25.069895, 81.093650"
MANJHILA  HARDOI ,"27.675492, 80.071258"
MANTOLA  AGRA ,"27.189693, 78.014937"
MAYUR VIHAR PH-I  EAST ,"28.603146, 77.294998"
MEERUT CITY  GRP MORADABAD ,"28.979174, 77.675628"
MERAPUR  FATEHGARH ,"27.383373, 79.281992"
MLO ANAND VIHAR  MLO ,"28.651307, 77.302771"
MOGHAL SARAI  GRP LUCKNOW ,"25.278642, 83.119838"
MOOL GANJ  KANPUR CITY ,"26.467214, 80.347445"
MUGHAL SARAI  CHANDAULI ,"25.281040, 83.118064"
MUGRA BADSHAHPUR  JAUNPUR ,"25.659515, 82.193313"
MUNDALI  MEERUT ,"28.866534, 77.829373"
MUSAFIRKHANA  SULTANPUR ,"26.260158, 82.073158"
MUSKARA  HAMIRPUR ,"25.666477, 79.799323"
MYORPUR  SONBHADRA ,"24.124836, 83.043373"
N.R.I. PS  LUDHIANA CITY ,"30.902847, 75.892425"
NAGAR  MUJAFFARPUR ,"26.119755, 85.392738"
NAGLA KHANGAR  FIROZABAD ,"26.953699, 78.689081"
NAGLA SINGHI  FIROZABAD ,"27.162615, 78.402408"
NAGRA  BALLIA ,"25.974159, 83.874432"
NAI MANDI  MUZAFFAR NAGAR ,"29.470087, 77.713106"
NAKA HINDOLA  LUCKNOW ,"26.839972, 80.926807"
NAKHASA  SAMBHAL ,"28.594060, 78.561848"
NAND NAGRI  NORTH EAST ,"28.695311, 77.308206"
NANDGANJ  GHAZIPUR ,"25.538101, 83.396670"
NARAHAT  LALITPUR ,"24.397267, 78.571913"
NARKATIYAGANJ  RLY MUJAFFARPUR ,"27.105151, 84.463798"
NARODA  AHMEDABAD CITY ,"23.070263, 72.653640"
NARWAL  KANPUR CITY ,"26.243208, 80.430960"
NASEERPUR  FIROZABAD ,"26.991509, 78.580208"
NAUBASTA  KANPUR CITY ,"26.398603, 80.315445"
NAUCHANDI  MEERUT ,"28.968352, 77.716608"
NAUGARH  CHANDAULI ,"24.834290, 83.253351"
NAUTANWA  MAHRAJGANJ ,"27.427056, 83.423932"
NEBUA NAURANGIA  KUSHI NAGAR ,"27.038466, 83.896376"
NEW AGRA  AGRA ,"27.213534, 78.009839"
NEW FRIENDS COLONY  SOUTH-EAST ,"28.575822, 77.275449"
NEW JALPAIGURI  SILIGURI GRP ,"26.723844, 88.416286"
NEWADHIYA  JAUNPUR ,"25.514726, 82.668714"
NICHLAUL  MAHRAJGANJ ,"27.306633, 83.724404"
NIGOHA  LUCKNOW ,"26.563291, 81.030618"
NOIDA PHASE-III  GAUTAM BUDH NAGAR ,"28.541216, 77.402716"
NOIDA SECTOR-24  GAUTAM BUDH NAGAR ,"28.590414, 77.347202"
NONHARA  GHAZIPUR ,"25.643640, 83.655723"
OBRA  SONBHADRA ,"24.477059, 82.984437"
OKHLA INDUSTRIAL AREA  SOUTH-EAST ,"28.536797, 77.275517"
ORCHHA  TIKAMGARH ,"25.372058, 78.630991"
P.G.I.  LUCKNOW ,"26.752590, 80.934690"
PANCHPERWA  BALRAMPUR ,"27.519939, 82.648119"
PANIYARA  MAHRAJGANJ ,"26.997654, 83.461096"
PARSAMALIK  MAHRAJGANJ ,"27.449080, 83.594572"
PARTAPUR  MEERUT ,"28.929229, 77.649005"
PASCHHIM SHARIRA  KAUSHAMBI ,"25.423150, 81.313584"
PATRANGA  FAIZABAD ,"26.823752, 81.575779"
PATWAI  RAMPUR ,"28.657386, 79.031565"
PAWAI  AZAMGARH ,"26.171741, 82.717341"
PENDRA  BILASPUR ,"22.776243, 81.959134"
PHARENDA  MAHRAJGANJ ,"27.100276, 83.274833"
PHOOL PUR  AZAMGARH ,"26.080030, 82.873669"
PIPARPUR  SULTANPUR ,"26.151858, 82.041594"
RABUPURA  GAUTAM BUDH NAGAR ,"28.249650, 77.588452"
RAILWAY ROAD  MEERUT ,"28.921072, 77.647872"
RAIPUR  SONBHADRA ,"24.730697, 83.391512"
RAJABPUR  AMROHA ,"28.838282, 78.376401"
RAJENDRA PARK  GURGAON ,"28.494742, 77.005514"
RAJJABPUR  MORADABAD ,"28.837120, 78.374546"
RAJPUR  KANPUR DEHAT ,"26.305918, 79.685254"
RAKSA  JHANSI ,"25.457505, 78.502550"
RAM SANEHIGHAT  BARABANKI ,"26.803332, 81.531487"
RAMJANAM BHUMI  FAIZABAD ,"26.797863, 82.201884"
RAMPUR BAGHELAN  SATNA ,"24.509260, 81.058916"
RAMPUR KARKHANA  DEORIA ,"26.573460, 83.822426"
RAMPUR MATHURA  SITAPUR ,"27.360595, 81.319283"
RASRA  BALLIA ,"25.859278, 83.859136"
RASULABAD  KANPUR DEHAT ,"26.678361, 79.779212"
RASULPUR  FIROZABAD ,"27.141311, 78.407125"
REOTI  BALLIA ,"25.845278, 84.376588"
RISHIKESH  DEHRADUN ,"30.089128, 78.268893"
ROTHAK CITY  ROHTAK ,"28.895208, 76.623206"
S.I.B. (CO OPERATIVE)  CID ,
SAGAR PUR  SOUTH WEST ,"28.605217, 77.098981"
SAHASWAN  BADAUN ,"28.072067, 78.752929"
