a,final
INDERGARH  KANNAUJ ,"26.941333, 79.675298"
JASPURA  BANDA ,"25.814746, 80.368005"
KANDHAI  PRATAPGARH ,"25.982466, 82.071200"
KOTWALI DEHAT  BULANDSHAHAR ,"28.393965, 77.830214"
LUCKNOW CHARBAGH  GRP LUCKNOW ,"26.835891, 80.909335"
MOTIPUR  BAHRAICH ,"28.039492, 81.362203"
NAWABAD  JHANSI ,"25.447504, 78.570810"
PATTI  PRATAPGARH ,"25.922184, 82.200694"
PURKAJI  MUZAFFAR NAGAR ,"29.660236, 77.845688"
SHAHBAD  HARDOI ,"27.663265, 79.936654"
ASHIYANA  LUCKNOW ,"26.792387, 80.921126"
BINAULI  BAGHPAT ,"29.097103, 77.403161"
FATEHGARH KOTWALI  FATEHGARH ,"27.362583, 79.629587"
FATEHPUR  SAHARANPUR ,"29.946816, 77.534037"
GRP AZAMGARH  AZAMGARH ,"26.046340, 83.172492"
KOTWALI NAGAR  SAHARANPUR ,"29.976022, 77.547994"
LALITPUR  GRP JHANSI ,"25.081402, 78.448079"
MAUAIMA  ALLAHABAD ,"25.702083, 81.924398"
QASIMPUR  HARDOI ,"27.035239, 80.424574"
QUOLARIA  BAREILLY ,"28.453129, 79.697126"
SIWAN  RLY MUJAFFARPUR ,"26.211097, 84.359930"
SUNGADI  PILIBHIT ,"28.625401, 79.807423"
TALGRAM  KANNAUJ ,"27.049437, 79.644630"
THARVAI  ALLAHABAD ,"25.547787, 81.907156"
VISHESHARGANJ  BAHRAICH ,"27.343643, 81.832107"
ANAND VIHAR RLY STN  C&R ,"28.647320, 77.315846"
BELA  AURAIYA ,"26.831078, 79.672551"
BHAMORA  BAREILLY ,"28.209556, 79.298362"
BITHRI CHAINPUR  BAREILLY ,"28.339722, 79.504999"
DARGAHSAREEF  BAHRAICH ,"27.591954, 81.611921"
ETMADDAULA  AGRA ,"27.196473, 78.033975"
GAJRAULA  PILIBHIT ,"28.770984, 79.779388"
GRP JAUNPUR  JAUNPUR ,"25.736621, 82.685500"
JEANPUR  AZAMGARH ,"26.156285, 83.328939"
KOTWALI ORAI  JALAUN ,"25.989554, 79.454225"
MAHILA THANA  MAU ,"25.949812, 83.558645"
SANGRAMPUR  AMETHI ,"26.320773, 81.464150"
SUMERPUR  HAMIRPUR ,"25.827604, 80.159284"
ACHHNERA  AGRA ,"27.180809, 77.758970"
AMANPUR  KASGANJ ,"27.709251, 78.734325"
CANTT  GORAKHPUR ,"26.756362, 83.418044"
CONNAUGHT PLACE  NEW DELHI ,"28.631061, 77.217733"
FARRUKHABAD KOTWALI  FATEHGARH ,"27.362622, 79.629608"
GHOSI  MAU ,"26.114953, 83.544157"
JAHANABAD  PILIBHIT ,"28.636701, 79.717119"
JANSATH  MUZAFFAR NAGAR ,"29.323324, 77.847146"
KUNDARKI  MORADABAD ,"28.693598, 78.781686"
LONAR  HARDOI ,"27.402258, 79.917159"
LONI BORDER  GHAZIABAD ,"28.710749, 77.291057"
MAHILA THANA  FATEHPUR ,"25.917738, 80.831623"
MOHANGANJ  AMETHI ,"26.369225, 81.477388"
POWAYAN  SHAHJAHANPUR ,"28.066653, 80.091331"
USHAIT  BADAUN ,"27.797820, 79.23636"
VISHRAT GANJ  BAREILLY ,"28.291750, 79.283019"
ALIGANJ  ETAH ,"27.494938, 79.170410"
CANTT  VARANASI ,"25.332695, 82.960376"
CHHAPIA  GONDA ,"26.979143, 82.390381"
CIVIL LINES  ALIGARH ,"27.900947, 78.075753"
GRP SULTANPUR  SULTANPUR ,"26.264513, 82.066744"
KATNI  GRP JABALPUR ,"23.834521, 80.400218"
Kotwali Mandi  SAHARANPUR ,"29.980199, 77.541578"
KOTWALI NAGAR  HAMIRPUR ,"25.955881, 80.152752"
UTRAULA  BALRAMPUR ,"27.322108, 82.419648"
BILSANDA  PILIBHIT ,"28.244523, 79.954499"
BINAWAR  BADAUN ,"28.129451, 79.227031"
CHHAPAR  MUZAFFAR NAGAR ,"29.572686, 77.769942"
CHHAPRAULI  BAGHPAT ,"29.208025, 77.174813"
GANGOH  SAHARANPUR ,"29.787972, 77.260753"
GRP CHANDAUSI  MORADABAD ,"28.815683, 78.773000"
GRP HARDOI  HARDOI ,"27.405381, 80.142132"
GRP HARIDWAR  HARIDWAR ,"29.946895, 78.154341"
GRP KARVI  CHITRAKOOT ,"25.216117, 80.920343"
GRP MUGHALSARAI  CHANDAULI ,"25.282436, 83.120467"
JAISINGHPUR  SULTANPUR ,"26.287585, 82.244532"
KATGHAR  MORADABAD ,"28.825605, 78.789263"
KAURIYA  GONDA ,"27.245393, 81.888987"
KOTWALI DEHAT  SULTANPUR ,"26.206198, 82.135439"
KOTWALI NAGAR  BAHRAICH ,"27.569885, 81.592094"
MAJHOLA  MORADABAD ,"28.825535, 78.724429"
MOOSA JHAG  BADAUN ,"28.036019, 79.280578"
NAWABGANJ  BAHRAICH ,"26.866266, 82.132197"
SAADATGANJ  LUCKNOW ,"26.855801, 80.883591"
SADAR BAZAR  AGRA ,"27.160015, 78.005622"
SADAR BAZAR  SHAHJAHANPUR ,"27.888021, 79.915794"
SANDILA  HARDOI ,"27.063857, 80.500792"
SURAJPUR  GAUTAM BUDH NAGAR ,"28.510866, 77.516092"
TITAWI  MUZAFFAR NAGAR ,"29.473401, 77.529520"
ANTI CORRUPTION  ANTI CORRUPTION ,"28.948988, 77.543911"
BAGWALA  ETAH ,"27.551404, 78.805003"
BARAHALGANJ  GORAKHPUR ,"26.288003, 83.501072"
CIVIL LINES  MEERUT ,"28.990329, 77.727038"
DEWA  BARABANKI ,"27.035193, 81.168146"
DHAURAHRA  KHERI ,"27.357186, 81.035952"
GORAKHNATH  GORAKHPUR ,"26.784111, 83.364707"
GRP AKBARPUR  AMBEDKAR NAGAR ,"26.415733, 82.538434"
GRP SITAPUR  SITAPUR ,"27.576563, 80.687642"
GRP TUNDLA JUNCTION  FIROZABAD ,"27.227601, 78.243192"
KOTWALI  BAREILLY ,"28.358855, 79.417309"
KOTWALI MAU  MAU ,"25.945024, 83.567639"
KOTWALI NAGAR  RAE BARELI ,"26.226962, 81.236485"
MAHILA THANA  GAUTAM BUDH NAGAR ,"28.573099, 77.358855"
MOHAMMADI  KHERI ,"27.955305, 80.214510"
MURAD NAGAR  GHAZIABAD ,"28.780338, 77.508375"
NAGAL  SAHARANPUR ,"29.844738, 77.629417"
NARHI  BALLIA ,"25.991154, 83.909944"
NAUGAWAN SADAT  AMROHA ,"29.009620, 78.405400"
PREM NAGAR  JHANSI ,"25.423770, 78.534121"
RISIA  BAHRAICH ,"27.685171, 81.609275"
ACHHALDA  AURAIYA ,"26.719357, 79.416818"
AIRWA KATRA  AURAIYA ,"26.907413, 79.422313"
AKHANDNAGAR  SULTANPUR ,"26.203716, 82.587917"
AURAI  BHADOHI ,"25.270641, 82.559542"
BHINGA  SHRAVASTI ,"27.703743, 81.935756"
COLLECTOR BUKGANJ  BAREILLY ,"28.365626, 79.394217"
FATEHGANJ WEST  BAREILLY ,"28.484178, 79.331532"
GAGALHERI  SAHARANPUR ,"29.979765, 77.674221"
GRP BADAUT  MORADABAD ,"29.102327, 77.259679"
GRP ETAWAH  ETAWAH ,"26.786738, 79.020515"
GRP UNNAO  UNNAO ,"26.584994, 80.519217"
KHORABAR  GORAKHPUR ,"26.706565, 83.435994"
KOTHI  BARABANKI ,"26.733518, 81.321884"
KOTWALI DEHAT  ETAH ,"27.554971, 78.647196"
KUREBHAR  SULTANPUR ,"26.417872, 82.125507"
MAHILA THANA  KASGANJ ,"27.811518, 78.651153"
MUNDHA PANDAY  MORADABAD ,"28.806142, 78.935874"
PHEPHNA  BALLIA ,"25.774976, 84.037855"
PIPARPUR  AMETHI ,"26.151849, 82.041561"
RAKABGANJ  AGRA ,"27.168259, 78.013401"
SHAHI  BAREILLY ,"28.549732, 79.321375"
SHAHPUR  GORAKHPUR ,"26.770560, 83.386220"
SHERGARH  BAREILLY ,"28.656515, 79.380547"
AKBARPUR  AMBEDKAR NAGAR ,"26.429874, 82.541355"
AMROHA NAGAR  AMROHA ,"28.908557, 78.482259"
AUNLA  BAREILLY ,"28.276336, 79.171644"
BACHHRAUN  AMROHA ,"28.925349, 78.233643"
BAKEWAR  ETAWAH ,"26.665114, 79.179559"
BHOPA  MUZAFFAR NAGAR ,"29.475741, 77.877690"
CHINHAT  LUCKNOW ,"26.872999, 81.037030"
DIBAI  BULANDSHAHAR ,"28.209045, 78.256088"
GAJRAULA  AMROHA ,"28.844722, 78.245394"
GHAZIABAD KOTWALI  GHAZIABAD ,"28.657201, 77.430809"
GRP PRATAPGARH  PRATAPGARH ,"25.912719, 81.999450"
ISLAM NAGAR  BADAUN ,"28.328389, 78.724573"
KAKOR  BULANDSHAHAR ,"28.293809, 77.696021"
KATRA BAZAR  GONDA ,"27.213808, 81.790436"
KOTWALI  FATEHPUR ,"25.928531, 80.819518"
KOTWALI  GHAZIPUR ,"25.582119, 83.580623"
KOTWALI  GORAKHPUR ,"26.748889, 83.361258"
KULPAHAR  MAHOBA ,"25.294290, 79.628771"
MADIHAN  MIRZAPUR ,"24.917092, 82.695190"
MAHILA THANA  AMBEDKAR NAGAR ,"26.440435, 82.548112"
MAHILA THANA  BHADOHI ,"25.414690, 82.581978"
MAHILA THANA  MAHOBA ,"25.291755, 79.876691"
MAHOBA  GRP JHANSI ,"25.306751, 79.848188"
MUJARIYA  BADAUN ,"28.042094, 78.918382"
NAGPUR  RAILWAY NAGPUR ,"21.152646, 79.088136"
PHOOLPUR  ALLAHABAD ,"25.552583, 82.092849"
QWARSI  ALIGARH ,"27.908657, 78.109156"
ROJA  SHAHJAHANPUR ,"27.819749, 79.935408"
SAHAWAR  KASGANJ ,"27.790566, 78.829393"
SHAMSHABAD  AGRA ,"27.020308, 78.121999"
AMBALA CANTT  AMBALA ,"30.365276, 76.779482"
BEHTA GOKUL  HARDOI ,"27.523175, 80.020829"
CHAURI CHAURA  GORAKHPUR ,"26.650425, 83.590204"
CHHAPRA  RLY MUJAFFARPUR ,"28.033397, 79.963545"
CHITWARA GOAN  BALLIA ,"25.736242, 84.004857"
DIDOLI  AMROHA ,"28.830649, 78.527155"
FAKHARPUR  BAHRAICH ,"27.423480, 81.520303"
FATEHABAD  AGRA ,"27.025408, 78.310262"
GANJ DUNDWARA  KASGANJ ,"27.740846, 78.940763"
GOSAINGANJ  LUCKNOW ,"26.768608, 81.103551"
HATHRAS KOTWALI  HATHRAS ,"27.596735, 78.058926"
JAMANIA  GHAZIPUR ,"25.412765, 83.560217"
JEWAR  GAUTAM BUDH NAGAR ,"28.123043, 77.561135"
KHALILABAD  SANT KABEER NAGAR ,"26.781140, 83.057745"
KHURJA DEHAT  BULANDSHAHAR ,"28.388552, 77.835009"
KOTWALI CITY  HARDOI ,"27.397912, 80.123094"
KOTWALI KONCH  JALAUN ,"25.993487, 79.144974"
MAHILA THANA  JHANSI ,"25.447646, 78.571410"
MAHOLI  SITAPUR ,"27.652893, 80.470347"
MEERGANJ  BAREILLY ,"28.545936, 79.208560"
MOHAMMADPUR KHALA  BARABANKI ,"27.210065, 81.269356"
NAGAR  SIWAN ,"26.218958, 84.369262"
NARAINI  BANDA ,"25.191485, 80.476667"
NOIDA PHASE-II  GAUTAM BUDH NAGAR ,"28.544532, 77.410613"
PHUGANA  MUZAFFAR NAGAR ,"29.333381, 77.388715"
REHRA BAZAR  BALRAMPUR ,"27.182768, 82.272764"
SADABAD KOTWALI  HATHRAS ,"27.632684, 78.160948"
SHAHGANJ  JAUNPUR ,"26.060666, 82.688043"
SHEESHGARH  BAREILLY ,"28.733946, 79.316934"
SHIV GARH  RAE BARELI ,"26.543310, 81.241300"
SIRSIYA  SHRAVASTI ,"27.786446, 82.102722"
SONHA  BASTI ,"26.993617, 82.674370"
TAPPAL  ALIGARH ,"28.048549, 77.585193"
TITRON  SAHARANPUR ,"29.671311, 77.325350"
UNJ  BHADOHI ,"25.396534, 82.565293"
WAZIRGANJ  BADAUN ,"28.210518, 79.056652"
ACHALGANJ  UNNAO ,"26.441193, 80.544655"
ALAPUR  BADAUN ,"27.913653, 79.243511"
ALLAHABAD  GRP ALLAHABAD ,"25.445714, 81.824080"
BELIPAR  GORAKHPUR ,"26.590159, 83.408424"
BHOGNIPUR  KANPUR DEHAT ,"26.202808, 79.817627"
BILSI  BADAUN ,"28.126286, 78.915091"
BISAULI  BADAUN ,"28.305813, 78.933291"
CAMPIERGANJ  GORAKHPUR ,"27.032131, 83.275660"
CHARKHARI  MAHOBA ,"25.403969, 79.753965"
DAURALA  MEERUT ,"29.116166, 77.704668"
FATEHGANJ EAST  BAREILLY ,"28.466468, 79.305262"
FATEHPUR  BARABANKI ,"27.174139, 81.212697"
GOLA  GORAKHPUR ,"26.355710, 83.359723"
GWALIOR  GWALIOR ,"26.256863, 78.178909"
HATHRAS GATE  HATHRAS ,"27.603315, 78.053273"
INAYATNAGAR  FAIZABAD ,"26.626762, 81.960740"
JABALPUR  GRP JABALPUR ,"23.163638, 79.950959"
JANGI PUR  GHAZIPUR ,"25.652034, 83.561132"
JHANSI  GRP JHANSI ,"25.446030, 78.553815"
KAMRAULI  AMETHI ,"26.494934, 81.555344"
KHANNA  MAHOBA ,"25.568751, 80.065964"
KHODARE  GONDA ,"27.020764, 82.497451"
KOKHRAJ  KAUSHAMBI ,"25.599051, 81.503061"
KOTWALI  BARABANKI ,"26.926935, 81.187130"
KOTWALI BIKAPUR  FAIZABAD ,"26.594945, 82.132061"
KOTWALI NAGAR  BALRAMPUR ,"27.430222, 82.178476"
KOTWALI NAGAR (MAHOBA)  MAHOBA ,"25.291124, 79.878118"
LAVEDI  ETAWAH ,"26.674086, 79.105399"
MAHILA THANA  ETAH ,"27.556094, 78.645548"
MAHILA THANA  KAUSHAMBI ,"25.592316, 81.493426"
MAHILA THANA  PRATAPGARH ,"25.920307, 82.002150"
MANDION  LUCKNOW ,"26.869262, 80.941008"
MANJHANPUR  KAUSHAMBI ,"25.532332, 81.377165"
MUGALPURA  MORADABAD ,"28.834921, 78.788977"
MUGHAL SARAI  GRP ALLAHABAD ,"25.288180, 83.110597"
NAGAR  SARAN ,"25.733765, 79.036480"
NARORA  BULANDSHAHAR ,"28.201119, 78.382678"
NOIDA SECTOR-39  GAUTAM BUDH NAGAR ,"28.573028, 77.357198"
NOIDA SECTOR-49  GAUTAM BUDH NAGAR ,"28.556264, 77.375880"
PAKBARA  MORADABAD ,"28.823996, 78.680742"
PIPRAICH  GORAKHPUR ,"26.828448, 83.535721"
PURAMUFTI  KAUSHAMBI ,"25.482326, 81.665168"
REFINERY  MATHURA ,"27.377265, 77.685989"
SAKALDEEHA  CHANDAULI ,"25.348762, 83.255940"
SUBHASH NAGAR  BAREILLY ,"28.337663, 79.407463"
TILHAR  SHAHJAHANPUR ,"27.958407, 79.753419"
ADAMPUR  AMROHA ,"28.538102, 78.383037"
AJGAIN  UNNAO ,"26.613430, 80.622074"
AKBARPUR  KANPUR DEHAT ,"26.014643, 79.693568"
BAHARIA  ALLAHABAD ,"25.617064, 82.003777"
BAKSHI KA TALAB  LUCKNOW ,"26.982849, 80.921486"
BALDI RAI  SULTANPUR ,"26.270124, 82.066103"
BANSGAON  GORAKHPUR ,"26.552270, 83.353594"
BANTHARA  LUCKNOW ,"26.690465, 80.829888"
BAZARKHALA  LUCKNOW ,"26.853371, 80.902217"
CHHATTA  AGRA ,"27.181062, 78.008901"
CIVIL LINES  BADAUN ,"28.031472, 79.132113"
GAGAHA  GORAKHPUR ,"26.435628, 83.445432"
GRP ANAND NAGAR  MAHRAJGANJ ,"27.093476, 83.272944"
GRP LAKSAR  HARIDWAR ,"29.745310, 78.024344"
HALIAPUR  SULTANPUR ,"26.468724, 81.893095"
HUZOORPUR  BAHRAICH ,"27.348415, 81.665716"
INDUSTRIAL AREA  ALLAHABAD ,"25.363146, 81.893011"
JAHANGANJ  FATEHGARH ,"27.242577, 79.553356"
JAITHRA  ETAH ,"27.516951, 79.004323"
JAYAS  AMETHI ,"26.264421, 81.549118"
KHAIR  ALIGARH ,"27.938907, 77.843939"
KHARAGUPUR  GONDA ,"27.374650, 81.992685"
KOTWALI  BADAUN ,"28.037928, 79.124413"
KOTWALI KATRA  MIRZAPUR ,"25.138557, 82.564329"
MAHANAGAR  LUCKNOW ,"26.879788, 80.958971"
MAHILA THANA  HATHRAS ,"27.599699, 78.049292"
MAHILA THANA  MEERUT ,"28.987185, 77.719068"
