"district","station","system","Month_Yr","locs","ps_loc_1","ps_loc_2"
"AMBALA","AMBALA SADAR",2016-06-11,"2016-06","AMBALA SADAR AMBALA",30.373763,76.764332
"AMBALA","AMBALA SADAR",2016-11-30,"2016-11","AMBALA SADAR AMBALA",30.373763,76.764332
"AMBALA","AMBALA SADAR",2016-12-24,"2016-12","AMBALA SADAR AMBALA",30.373763,76.764332
"AMBALA","AMBALA SADAR",2016-12-25,"2016-12","AMBALA SADAR AMBALA",30.373763,76.764332
"AMBALA","AMBALA SADAR",2017-01-08,"2017-01","AMBALA SADAR AMBALA",30.373763,76.764332
"AMBALA","AMBALA SADAR",2017-07-25,"2017-07","AMBALA SADAR AMBALA",30.373763,76.764332
"AMBALA","BALDEV NAGAR",2015-02-10,"2015-02","BALDEV NAGAR AMBALA",30.380986,76.790273
"AMBALA","BALDEV NAGAR",2015-02-12,"2015-02","BALDEV NAGAR AMBALA",30.380986,76.790273
"AMBALA","BALDEV NAGAR",2015-02-24,"2015-02","BALDEV NAGAR AMBALA",30.380986,76.790273
"AMBALA","BALDEV NAGAR",2015-03-07,"2015-03","BALDEV NAGAR AMBALA",30.380986,76.790273
"AMBALA","BALDEV NAGAR",2015-03-14,"2015-03","BALDEV NAGAR AMBALA",30.380986,76.790273
"AMBALA","BALDEV NAGAR",2015-03-22,"2015-03","BALDEV NAGAR AMBALA",30.380986,76.790273
"AMBALA","BALDEV NAGAR",2015-04-07,"2015-04","BALDEV NAGAR AMBALA",30.380986,76.790273
"AMBALA","BALDEV NAGAR",2015-04-20,"2015-04","BALDEV NAGAR AMBALA",30.380986,76.790273
"AMBALA","BALDEV NAGAR",2015-04-20,"2015-04","BALDEV NAGAR AMBALA",30.380986,76.790273
"AMBALA","BALDEV NAGAR",2015-05-01,"2015-05","BALDEV NAGAR AMBALA",30.380986,76.790273
"AMBALA","BALDEV NAGAR",2015-05-15,"2015-05","BALDEV NAGAR AMBALA",30.380986,76.790273
"AMBALA","BALDEV NAGAR",2015-06-02,"2015-06","BALDEV NAGAR AMBALA",30.380986,76.790273
"AMBALA","BALDEV NAGAR",2015-06-11,"2015-06","BALDEV NAGAR AMBALA",30.380986,76.790273
"AMBALA","BALDEV NAGAR",2015-06-19,"2015-06","BALDEV NAGAR AMBALA",30.380986,76.790273
"AMBALA","BALDEV NAGAR",2015-07-22,"2015-07","BALDEV NAGAR AMBALA",30.380986,76.790273
"AMBALA","BALDEV NAGAR",2015-07-24,"2015-07","BALDEV NAGAR AMBALA",30.380986,76.790273
"AMBALA","BALDEV NAGAR",2015-08-07,"2015-08","BALDEV NAGAR AMBALA",30.380986,76.790273
"AMBALA","BALDEV NAGAR",2015-10-01,"2015-10","BALDEV NAGAR AMBALA",30.380986,76.790273
"AMBALA","BALDEV NAGAR",2015-10-25,"2015-10","BALDEV NAGAR AMBALA",30.380986,76.790273
"AMBALA","BALDEV NAGAR",2015-10-28,"2015-10","BALDEV NAGAR AMBALA",30.380986,76.790273
"AMBALA","BALDEV NAGAR",2015-11-27,"2015-11","BALDEV NAGAR AMBALA",30.380986,76.790273
"AMBALA","BALDEV NAGAR",2015-12-15,"2015-12","BALDEV NAGAR AMBALA",30.380986,76.790273
"AMBALA","BALDEV NAGAR",2016-04-09,"2016-04","BALDEV NAGAR AMBALA",30.380986,76.790273
"AMBALA","BALDEV NAGAR",2016-04-12,"2016-04","BALDEV NAGAR AMBALA",30.380986,76.790273
"AMBALA","BALDEV NAGAR",2016-06-02,"2016-06","BALDEV NAGAR AMBALA",30.380986,76.790273
"AMBALA","BALDEV NAGAR",2016-07-04,"2016-07","BALDEV NAGAR AMBALA",30.380986,76.790273
"AMBALA","BALDEV NAGAR",2016-07-12,"2016-07","BALDEV NAGAR AMBALA",30.380986,76.790273
"AMBALA","BALDEV NAGAR",2016-07-14,"2016-07","BALDEV NAGAR AMBALA",30.380986,76.790273
"AMBALA","BALDEV NAGAR",2016-08-21,"2016-08","BALDEV NAGAR AMBALA",30.380986,76.790273
"AMBALA","BALDEV NAGAR",2016-08-25,"2016-08","BALDEV NAGAR AMBALA",30.380986,76.790273
"AMBALA","BALDEV NAGAR",2016-08-27,"2016-08","BALDEV NAGAR AMBALA",30.380986,76.790273
"AMBALA","BALDEV NAGAR",2016-10-14,"2016-10","BALDEV NAGAR AMBALA",30.380986,76.790273
"AMBALA","BALDEV NAGAR",2016-10-24,"2016-10","BALDEV NAGAR AMBALA",30.380986,76.790273
"AMBALA","BALDEV NAGAR",2016-11-01,"2016-11","BALDEV NAGAR AMBALA",30.380986,76.790273
"AMBALA","BALDEV NAGAR",2016-11-13,"2016-11","BALDEV NAGAR AMBALA",30.380986,76.790273
"AMBALA","BALDEV NAGAR",2016-11-17,"2016-11","BALDEV NAGAR AMBALA",30.380986,76.790273
"AMBALA","BALDEV NAGAR",2017-05-22,"2017-05","BALDEV NAGAR AMBALA",30.380986,76.790273
"AMBALA","BALDEV NAGAR",2017-06-26,"2017-06","BALDEV NAGAR AMBALA",30.380986,76.790273
"AMBALA","BALDEV NAGAR",2017-07-06,"2017-07","BALDEV NAGAR AMBALA",30.380986,76.790273
"AMBALA","BARARA",2015-02-17,"2015-02","BARARA AMBALA",30.214486,77.039812
"AMBALA","BARARA",2015-03-10,"2015-03","BARARA AMBALA",30.214486,77.039812
"AMBALA","BARARA",2015-04-08,"2015-04","BARARA AMBALA",30.214486,77.039812
"AMBALA","BARARA",2015-04-17,"2015-04","BARARA AMBALA",30.214486,77.039812
"AMBALA","BARARA",2015-06-02,"2015-06","BARARA AMBALA",30.214486,77.039812
"AMBALA","BARARA",2015-06-03,"2015-06","BARARA AMBALA",30.214486,77.039812
"AMBALA","BARARA",2015-07-30,"2015-07","BARARA AMBALA",30.214486,77.039812
"AMBALA","BARARA",2015-09-05,"2015-09","BARARA AMBALA",30.214486,77.039812
"AMBALA","BARARA",2015-09-23,"2015-09","BARARA AMBALA",30.214486,77.039812
"AMBALA","BARARA",2015-09-23,"2015-09","BARARA AMBALA",30.214486,77.039812
"AMBALA","BARARA",2015-10-20,"2015-10","BARARA AMBALA",30.214486,77.039812
"AMBALA","BARARA",2015-11-18,"2015-11","BARARA AMBALA",30.214486,77.039812
"AMBALA","BARARA",2015-12-27,"2015-12","BARARA AMBALA",30.214486,77.039812
"AMBALA","BARARA",2016-01-05,"2016-01","BARARA AMBALA",30.214486,77.039812
"AMBALA","BARARA",2016-03-22,"2016-03","BARARA AMBALA",30.214486,77.039812
"AMBALA","BARARA",2016-04-23,"2016-04","BARARA AMBALA",30.214486,77.039812
"AMBALA","BARARA",2016-05-04,"2016-05","BARARA AMBALA",30.214486,77.039812
"AMBALA","BARARA",2016-05-17,"2016-05","BARARA AMBALA",30.214486,77.039812
"AMBALA","BARARA",2016-08-07,"2016-08","BARARA AMBALA",30.214486,77.039812
"AMBALA","BARARA",2016-10-25,"2016-10","BARARA AMBALA",30.214486,77.039812
"AMBALA","BARARA",2016-11-17,"2016-11","BARARA AMBALA",30.214486,77.039812
"AMBALA","BARARA",2016-12-03,"2016-12","BARARA AMBALA",30.214486,77.039812
"AMBALA","BARARA",2017-01-16,"2017-01","BARARA AMBALA",30.214486,77.039812
"AMBALA","BARARA",2017-01-24,"2017-01","BARARA AMBALA",30.214486,77.039812
"AMBALA","BARARA",2017-02-17,"2017-02","BARARA AMBALA",30.214486,77.039812
"AMBALA","BARARA",2017-02-20,"2017-02","BARARA AMBALA",30.214486,77.039812
"AMBALA","BARARA",2017-04-23,"2017-04","BARARA AMBALA",30.214486,77.039812
"AMBALA","BARARA",2017-04-27,"2017-04","BARARA AMBALA",30.214486,77.039812
"AMBALA","BARARA",2017-06-09,"2017-06","BARARA AMBALA",30.214486,77.039812
"AMBALA","MAHESH NAGAR",2015-02-05,"2015-02","MAHESH NAGAR AMBALA",30.33737,76.8635
