"system","count"
2017-01-06,280
2017-01-07,262
2017-01-08,240
2017-01-09,316
2017-01-10,281
2017-01-11,312
2017-01-12,340
2017-01-13,383
2017-01-14,278
2017-01-15,263
2017-01-16,263
2017-01-17,286
2017-01-18,293
2017-01-19,295
2017-01-20,317
2017-01-21,220
2017-01-22,248
2017-01-23,286
2017-01-24,296
2017-01-25,270
2017-01-26,159
2017-01-27,266
2017-01-28,264
2017-01-29,207
2017-01-30,288
2017-01-31,270
2017-02-01,250
2017-02-02,283
2017-02-03,294
2017-02-04,318
2017-02-05,240
2017-02-06,304
2017-02-07,328
2017-02-08,321
2017-02-09,317
2017-02-10,325
2017-02-11,276
2017-02-12,233
2017-02-13,296
2017-02-14,277
2017-02-15,255
2017-02-16,323
2017-02-17,306
2017-02-18,276
2017-02-19,267
2017-02-20,312
2017-02-21,342
2017-02-22,301
2017-02-23,301
2017-02-24,390
2017-02-25,278
2017-02-26,256
2017-02-27,294
2017-02-28,287
2017-03-01,308
2017-03-02,310
2017-03-03,315
2017-03-04,279
2017-03-05,259
2017-03-06,290
2017-03-07,321
2017-03-08,336
2017-03-09,302
2017-03-10,304
2017-03-11,385
2017-03-12,242
2017-03-13,140
2017-03-14,360
2017-03-15,332
2017-03-16,293
2017-03-17,276
2017-03-18,228
2017-03-19,219
2017-03-20,269
2017-03-21,289
2017-03-22,338
2017-03-23,342
2017-03-24,319
2017-03-25,304
2017-03-26,229
2017-03-27,313
2017-03-28,345
2017-03-29,379
2017-03-30,315
2017-03-31,283
2017-04-01,382
2017-04-02,290
2017-04-03,343
2017-04-04,396
2017-04-05,345
2017-04-06,314
2017-04-07,305
2017-04-08,425
2017-04-09,326
2017-04-10,316
2017-04-11,340
2017-04-12,390
2017-04-13,319
2017-04-14,325
2017-04-15,330
2017-04-16,281
2017-04-17,278
2017-04-18,297
2017-04-19,326
2017-04-20,300
2017-04-21,284
2017-04-22,316
2017-04-23,296
2017-04-24,304
2017-04-25,330
2017-04-26,336
2017-04-27,340
2017-04-28,330
2017-04-29,306
2017-04-30,244
2017-05-01,375
2017-05-02,331
2017-05-03,401
2017-05-04,440
2017-05-05,373
2017-05-06,340
2017-05-07,339
2017-05-08,378
2017-05-09,377
2017-05-10,416
2017-05-11,381
2017-05-12,394
2017-05-13,474
2017-05-14,383
2017-05-15,412
2017-05-16,308
2017-05-17,296
2017-05-18,362
2017-05-19,373
2017-05-20,379
2017-05-21,340
2017-05-22,362
2017-05-23,335
2017-05-24,364
2017-05-25,352
2017-05-26,351
2017-05-27,343
2017-05-28,291
2017-05-29,179
2017-05-30,258
2017-05-31,108
2017-06-01,563
2017-06-02,385
2017-06-03,387
2017-06-04,282
2017-06-05,332
2017-06-06,385
2017-06-07,360
2017-06-08,388
2017-06-09,382
2017-06-10,337
2017-06-11,347
2017-06-12,432
2017-06-13,449
2017-06-14,458
2017-06-15,415
2017-06-16,329
2017-06-17,359
2017-06-18,313
2017-06-19,325
2017-06-20,342
2017-06-21,337
2017-06-22,426
2017-06-23,342
2017-06-24,440
2017-06-25,312
2017-06-26,318
2017-06-27,488
2017-06-28,368
2017-06-29,356
2017-06-30,312
2017-07-01,319
2017-07-02,308
2017-07-03,382
2017-07-04,391
2017-07-05,382
2017-07-06,342
2017-07-07,363
2017-07-08,416
2017-07-09,309
2017-07-10,412
2017-07-11,428
2017-07-12,378
2017-07-13,399
2017-07-14,380
2017-07-15,388
2017-07-16,334
2017-07-17,368
2017-07-18,325
2017-07-19,389
2017-07-20,381
2017-07-21,315
2017-07-22,326
2017-07-23,265
2017-07-24,389
2017-07-25,389
2017-07-26,360
2017-07-27,362
2017-07-28,371
2017-07-29,419
2017-07-30,262
2017-07-31,289
2017-08-01,363
2017-08-02,380
2017-08-03,347
2017-08-04,348
2017-08-05,315
2017-08-06,287
2017-08-07,226
